complaint_id,oem_id,complaint_date,affected_order_ids,product_type,defect_description,units_affected,root_cause_identified,8D_submitted,resolution,financial_impact_inr,status,repeat_complaint,warranty_claim,remarks
C0123,OEM-SUZUKI,2022-07-08,"D-2068,D-3202,D-1166,D-3959",Brake Pad Type A,Noise complaint - squeal at low speed braking,163,Machine tool wear - spindle runout,Yes,Full recall + replacement dispatched,89606,Open,N,Y,OEM issued debit note
C0124,OEM-HONDA,2024-12-28,D-2810,ABS Sensor Ring,Surface delamination - units rejected at incoming QC,363,Under investigation,Pending,Full recall + replacement dispatched,248306,In Progress,Y,Y,Field visit completed
C0125,OEM-MARUTI,2021-09-05,"D-2759,D-2952,D-1562",Drum Brake Assy,Crack on brake drum casting - 6 bar air test fail,214,Incorrect cure temp - night shift,Yes,Corrective action plan submitted,289544,Closed,Y,N,Escalated to GM QA
C0126,OEM-HONDA,2021-02-03,"D-3182,D-1309,D-5387",Wheel Hub Assy,Crack on brake drum casting - 6 bar air test fail,143,Incorrect cure temp - night shift,No,Scrap & re-order from alternate supplier,401047,Closed,N,N,Field visit completed
C0127,OEM-TVS,2024-04-24,"D-3454,D-3509",ABS Sensor Ring,Dimensional out-of-spec - ID oversize by 0.12 mm,395,Operator error - wrong die inserted,No,Process parameter locked; re-training done,241200,In Progress,N,Y,Field visit completed
C0128,OEM-MAHINDRA,2023-09-19,D-5890,Disc Brake Caliper,Crack on brake drum casting - 6 bar air test fail,132,Incoming lot moisture > 0.5%,Yes,100% inspection implemented,75980,Closed,N,N,Closed with customer sign-off
C0129,OEM-HONDA,2024-05-02,"D-4466,D-2594,D-2549",ABS Sensor Ring,Vibration at highway speeds - rotor runout > 0.05 mm,264,,Pending,100% inspection implemented,61065,Closed,N,Y,OEM issued debit note
C0130,OEM-HONDA,2023-08-08,"D-5459,D-1026",CV Joint,ABS sensor ring missing teeth - 12 units,96,Coolant contamination in grinding,,Corrective action plan submitted,453403,Escalated,Y,Y,Field visit completed
C0131,OEM-RENAULT,2021-11-11,"D-1076,D-3791,D-4282",Brake Pad Type B,Noise complaint - squeal at low speed braking,186,Under investigation,,Corrective action plan submitted,494315,Closed,Y,Y,Repeat issue - CAPA overdue
C0132,OEM-TATA,2023-08-05,"D-2768,D-1910",Drum Brake Assy,Noise complaint - squeal at low speed braking,202,Chiller fault - mould temp swing,Pending,Corrective action plan submitted,77470,In Progress,Y,Y,Customer requested urgent resolution
C0133,OEM-FORD,2022-07-08,"D-3848,D-2016,D-3703,D-2759",Brake Shoe,Surface delamination - units rejected at incoming QC,146,Incorrect cure temp - night shift,Yes,Preventive maintenance completed,129579,Closed,N,Y,Repeat issue - CAPA overdue
C0134,OEM-BAJAJ,2021-11-28,"D-4154,D-4018",Brake Disc,Clutch slip - insufficient torque capacity,302,Calibration lapse - gauge not zeroed,No,Corrective action plan submitted,322007,In Progress,Y,N,OEM issued debit note
C0135,OEM-FORD,2021-11-02,"D-1804,D-3680,D-1976",Clutch Plate,Noise complaint - squeal at low speed braking,75,Calibration lapse - gauge not zeroed,Pending,Scrap & re-order from alternate supplier,190899,Escalated,N,Y,Field visit completed
C0136,OEM-BAJAJ,2023-01-06,D-4038,CV Joint,Friction material detached after 3000 km field use,407,Calibration lapse - gauge not zeroed,Yes,Scrap & re-order from alternate supplier,237722,Closed,N,,Field visit completed
C0137,OEM-RENAULT,2021-03-23,D-3349,Brake Shoe,Dimensional out-of-spec - ID oversize by 0.12 mm,197,Chiller fault - mould temp swing,No,Rework and re-inspect,484322,Open,Y,Y,Customer requested urgent resolution
C0138,OEM-BAJAJ,2021-02-26,"D-2981,D-2520,D-3400",Brake Shoe,Clutch slip - insufficient torque capacity,263,Incoming lot moisture > 0.5%,Yes,Root cause under investigation,275119,In Progress,N,N,Closed with customer sign-off
C0139,OEM-MAHINDRA,2023-10-16,"D-3539,D-7478,D-2191,D-3273",Disc Brake Caliper,Vibration at highway speeds - rotor runout > 0.05 mm,319,Under investigation,Yes,100% inspection implemented,468908,Closed,Y,N,OEM issued debit note
C0140,OEM-RENAULT,2022-10-30,"D-2542,D-5673,D-4437,D-2656",Brake Shoe,Clutch slip - insufficient torque capacity,274,Machine tool wear - spindle runout,Pending,Root cause under investigation,271086,Closed,N,Y,Customer requested urgent resolution
C0141,OEM-TVS,2024-03-23,"D-3809,D-4409,D-5020",Wheel Hub Assy,Oil contamination on lining surface,263,Batch mix ratio deviation,No,Root cause under investigation,62977,Closed,N,N,Closed with customer sign-off
C0142,OEM-HONDA,2022-12-15,D-2484,ABS Sensor Ring,Oil contamination on lining surface,138,Machine tool wear - spindle runout,Pending,Full recall + replacement dispatched,300599,In Progress,N,Y,Escalated to GM QA
C0143,OEM-HYUNDAI,2022-06-11,D-2237,Brake Shoe,ABS sensor ring missing teeth - 12 units,227,Operator error - wrong die inserted,Pending,Rework and re-inspect,493299,Closed,N,Y,Escalated to GM QA
C0144,OEM-HONDA,2024-02-28,"D-2280,D-1873,D-1817,D-3863",Brake Pad Type B,Surface delamination - units rejected at incoming QC,266,Incoming lot moisture > 0.5%,Yes,Root cause under investigation,260751,Closed,,Y,Repeat issue - CAPA overdue
C0145,OEM-TVS,2022-11-04,"D-2302,D-1674",Disc Brake Caliper,Oil contamination on lining surface,118,Coolant contamination in grinding,Pending,Root cause under investigation,359059,Escalated,N,N,Repeat issue - CAPA overdue
C0146,OEM-RENAULT,2021-02-13,"D-3570,D-1748,D-1190,D-6485",Drum Brake Assy,Crack on brake drum casting - 6 bar air test fail,56,Resin expiry date exceeded,Yes,Root cause under investigation,289872,Closed,Y,N,
C0147,OEM-HONDA,2022-11-03,"D-2385,D-4445,D-1191,D-1301",Disc Brake Caliper,Friction material detached after 3000 km field use,241,Chiller fault - mould temp swing,Yes,Process parameter locked; re-training done,52091,Closed,,N,Closed with customer sign-off
C0148,OEM-BAJAJ,2024-01-22,"D-3432,D-2396",CV Joint,Oil contamination on lining surface,197,Coolant contamination in grinding,No,Rework and re-inspect,498046,Closed,Y,N,Escalated to GM QA
C0149,OEM-MARUTI,2021-09-12,"D-3357,D-5561,D-1254",Brake Shoe,Vibration at highway speeds - rotor runout > 0.05 mm,232,Resin expiry date exceeded,No,Preventive maintenance completed,244843,Closed,N,,Customer requested urgent resolution
C0150,OEM-HONDA,2024-03-29,"D-3307,D-1475",Brake Disc,Dimensional out-of-spec - ID oversize by 0.12 mm,94,Machine tool wear - spindle runout,Pending,Preventive maintenance completed,313874,Closed,N,Y,Escalated to GM QA
C0151,OEM-TATA,2021-09-27,"D-2160,D-3541",CV Joint,Corrosion observed on disc surface - field report,228,Calibration lapse - gauge not zeroed,Pending,Preventive maintenance completed,279758,Closed,Y,N,Field visit completed
C0152,OEM-SUZUKI,2024-08-16,"D-2218,D-3349",Clutch Plate,Surface delamination - units rejected at incoming QC,271,Batch mix ratio deviation,No,,41141,Open,N,N,Closed with customer sign-off
C0153,OEM-HYUNDAI,2023-12-30,"D-3516,D-2956,D-3612",Wheel Hub Assy,Clutch slip - insufficient torque capacity,118,Incorrect cure temp - night shift,No,100% inspection implemented,72017,Closed,Y,,Field visit completed
C0154,OEM-BAJAJ,2024-09-28,"D-3409,D-1734,D-2263,D-1678",Drum Brake Assy,Friction material detached after 3000 km field use,59,Batch mix ratio deviation,Pending,Process parameter locked; re-training done,81210,In Progress,N,Y,Repeat issue - CAPA overdue
C0155,OEM-RENAULT,2021-05-29,"D-3766,D-3868,D-1498,D-3764",ABS Sensor Ring,Surface delamination - units rejected at incoming QC,490,Supplier batch below spec,,Full recall + replacement dispatched,281403,Open,Y,N,Escalated to GM QA
C0156,OEM-FORD,2022-05-03,"D-1644,D-3433",Brake Pad Type A,ABS sensor ring missing teeth - 12 units,202,Operator error - wrong die inserted,Yes,Process parameter locked; re-training done,191374,Escalated,N,N,Customer requested urgent resolution
C0157,OEM-MARUTI,2024-07-16,"D-1830,D-3020",ABS Sensor Ring,Friction material detached after 3000 km field use,394,Batch mix ratio deviation,,Corrective action plan submitted,317642,Escalated,Y,Y,OEM issued debit note
C0158,OEM-MAHINDRA,2022-08-07,"D-1444,D-3976,D-2796,D-2322",Brake Pad Type A,Dimensional out-of-spec - ID oversize by 0.12 mm,397,Resin expiry date exceeded,Pending,Process parameter locked; re-training done,12329,Closed,N,N,Customer requested urgent resolution
C0159,OEM-HONDA,2023-05-15,"D-1877,D-3930",Brake Pad Type B,Oil contamination on lining surface,157,Coolant contamination in grinding,Pending,Scrap & re-order from alternate supplier,233078,Closed,N,N,Field visit completed
C0160,OEM-MARUTI,2023-04-27,"D-4464,D-3392,D-5521",Brake Pad Type A,Dimensional out-of-spec - ID oversize by 0.12 mm,32,,Pending,Corrective action plan submitted,284316,Escalated,Y,N,Repeat issue - CAPA overdue
C0161,OEM-MARUTI,2021-09-19,"D-1858,D-1855,D-5976,D-3376",Brake Pad Type B,Vibration at highway speeds - rotor runout > 0.05 mm,215,Resin expiry date exceeded,Yes,Rework and re-inspect,268133,Closed,Y,N,Repeat issue - CAPA overdue
C0162,OEM-HONDA,2022-03-17,D-2661,Brake Pad Type A,Oil contamination on lining surface,244,Incoming lot moisture > 0.5%,Pending,100% inspection implemented,495385,Closed,Y,N,Customer requested urgent resolution
C0163,OEM-MARUTI,2022-01-25,"D-1019,D-3254,D-1967",Disc Brake Caliper,Vibration at highway speeds - rotor runout > 0.05 mm,136,Incorrect cure temp - night shift,Pending,Root cause under investigation,105580,Open,N,Y,
C0164,OEM-SUZUKI,2021-04-05,"D-4307,D-2576,D-4067,D-1775",CV Joint,ABS sensor ring missing teeth - 12 units,41,Batch mix ratio deviation,Pending,Rework and re-inspect,186878,Closed,Y,Y,Customer requested urgent resolution
C0165,OEM-MARUTI,2024-06-06,D-4156,Wheel Hub Assy,Corrosion observed on disc surface - field report,15,Incorrect cure temp - night shift,Pending,,36085,Closed,N,N,Closed with customer sign-off
C0166,OEM-HYUNDAI,2022-10-21,D-6348,Brake Pad Type B,ABS sensor ring missing teeth - 12 units,21,Calibration lapse - gauge not zeroed,Yes,,262141,Closed,Y,Y,Repeat issue - CAPA overdue
C0167,OEM-FORD,2024-03-07,D-4284,Brake Pad Type A,Corrosion observed on disc surface - field report,119,,Yes,Rework and re-inspect,90305,In Progress,N,N,Customer requested urgent resolution
C0168,OEM-TATA,2023-12-03,"D-3785,D-1987",Brake Pad Type B,Friction material detached after 3000 km field use,173,,No,Full recall + replacement dispatched,402546,In Progress,N,Y,Escalated to GM QA
C0169,OEM-HONDA,2024-01-19,"D-2068,D-2200",Disc Brake Caliper,Friction material detached after 3000 km field use,122,Incoming lot moisture > 0.5%,Pending,Rework and re-inspect,91924,Closed,Y,N,Closed with customer sign-off
C0170,OEM-HONDA,2023-04-10,"D-3520,D-4148,D-1784,D-4434",ABS Sensor Ring,ABS sensor ring missing teeth - 12 units,27,Batch mix ratio deviation,No,,346176,Open,N,N,Customer requested urgent resolution
C0171,OEM-SUZUKI,2022-07-30,D-5645,CV Joint,Friction material detached after 3000 km field use,400,Batch mix ratio deviation,Pending,Full recall + replacement dispatched,40340,In Progress,Y,N,OEM issued debit note
C0172,OEM-BAJAJ,2021-05-25,"D-1189,D-3612",Brake Pad Type A,Crack on brake drum casting - 6 bar air test fail,332,Under investigation,No,Corrective action plan submitted,261287,Open,Y,N,Closed with customer sign-off
C0173,OEM-TVS,2024-11-19,D-3654,Wheel Hub Assy,Friction material detached after 3000 km field use,95,Machine tool wear - spindle runout,No,100% inspection implemented,387307,In Progress,Y,Y,Escalated to GM QA
C0174,OEM-SUZUKI,2024-10-01,"D-1616,D-1715,D-4461,D-1163",Brake Disc,Oil contamination on lining surface,17,Coolant contamination in grinding,No,Full recall + replacement dispatched,206508,Closed,Y,N,
C0175,OEM-TATA,2023-10-19,"D-3469,D-2195,D-5777,D-2752",ABS Sensor Ring,Vibration at highway speeds - rotor runout > 0.05 mm,35,Calibration lapse - gauge not zeroed,Pending,Process parameter locked; re-training done,379974,Escalated,N,N,Customer requested urgent resolution
C0176,OEM-MAHINDRA,2024-11-24,"D-1218,D-1735,D-4320",Brake Pad Type B,Noise complaint - squeal at low speed braking,281,Chiller fault - mould temp swing,No,Root cause under investigation,198326,In Progress,Y,Y,Escalated to GM QA
C0177,OEM-HONDA,2021-11-10,D-2090,Wheel Hub Assy,Oil contamination on lining surface,300,Supplier batch below spec,Pending,Full recall + replacement dispatched,307551,Closed,N,N,OEM issued debit note
C0178,OEM-RENAULT,2021-03-25,"D-2753,D-4335,D-3256",Brake Disc,Friction material detached after 3000 km field use,485,Incoming lot moisture > 0.5%,Pending,Rework and re-inspect,385978,Closed,Y,N,OEM issued debit note
C0179,OEM-SUZUKI,2022-01-04,"D-3817,D-1808,D-3069,D-2768",Brake Pad Type B,Oil contamination on lining surface,109,Under investigation,No,Corrective action plan submitted,295523,Closed,N,N,Customer requested urgent resolution
C0180,OEM-TATA,2024-09-14,"D-4158,D-5568,D-3683",Brake Shoe,Dimensional out-of-spec - ID oversize by 0.12 mm,433,Machine tool wear - spindle runout,Pending,Root cause under investigation,116138,Closed,,Y,Customer requested urgent resolution
C0181,OEM-BAJAJ,2021-01-14,"D-1952,D-4025,D-3555,D-3186",CV Joint,Oil contamination on lining surface,324,Resin expiry date exceeded,Yes,Full recall + replacement dispatched,347038,Closed,Y,N,Escalated to GM QA
C0182,OEM-HYUNDAI,2021-12-10,"D-3942,D-1343",Brake Shoe,Clutch slip - insufficient torque capacity,435,Incoming lot moisture > 0.5%,Yes,100% inspection implemented,225341,Closed,N,,Escalated to GM QA
C0183,OEM-HYUNDAI,2022-12-11,"D-1978,D-3237,D-6633",ABS Sensor Ring,Friction material detached after 3000 km field use,25,,Yes,Root cause under investigation,415176,Escalated,Y,N,Field visit completed
C0184,OEM-HONDA,2024-06-26,D-3882,Disc Brake Caliper,Dimensional out-of-spec - ID oversize by 0.12 mm,57,Under investigation,No,,75620,Escalated,N,Y,OEM issued debit note
C0185,OEM-TATA,2022-04-05,"D-4125,D-1888,D-3509,D-2650",Wheel Hub Assy,Friction material detached after 3000 km field use,323,Machine tool wear - spindle runout,Yes,Scrap & re-order from alternate supplier,177581,Closed,Y,,
C0186,OEM-SUZUKI,2021-09-25,"D-2775,D-2543,D-2317",Wheel Hub Assy,Friction material detached after 3000 km field use,120,Chiller fault - mould temp swing,No,Full recall + replacement dispatched,338345,Escalated,N,N,OEM issued debit note
C0187,OEM-TATA,2021-06-03,"D-1186,D-4082,D-4388,D-3735",Brake Disc,Clutch slip - insufficient torque capacity,136,Coolant contamination in grinding,Yes,Root cause under investigation,456805,In Progress,N,N,Closed with customer sign-off
C0188,OEM-MARUTI,2021-06-22,"D-3831,D-3242",Brake Disc,Crack on brake drum casting - 6 bar air test fail,216,Machine tool wear - spindle runout,Pending,Rework and re-inspect,157716,In Progress,,Y,OEM issued debit note
C0189,OEM-RENAULT,2024-03-15,"D-3208,D-3985",Brake Pad Type A,Corrosion observed on disc surface - field report,298,Resin expiry date exceeded,Pending,Full recall + replacement dispatched,225796,Closed,Y,Y,OEM issued debit note
C0190,OEM-MARUTI,2024-09-21,"D-4318,D-4396,D-3292,D-1685",Brake Disc,Clutch slip - insufficient torque capacity,133,Incorrect cure temp - night shift,No,Scrap & re-order from alternate supplier,171706,Closed,N,Y,Repeat issue - CAPA overdue
C0191,OEM-TVS,2023-05-09,"D-1848,D-2463,D-2872,D-2279",Brake Pad Type B,Friction material detached after 3000 km field use,195,Machine tool wear - spindle runout,Yes,Scrap & re-order from alternate supplier,177037,Closed,Y,Y,Field visit completed
C0192,OEM-MAHINDRA,2022-09-29,"D-3736,D-3242,D-3153",Wheel Hub Assy,ABS sensor ring missing teeth - 12 units,314,Supplier batch below spec,No,100% inspection implemented,111226,Escalated,N,,Escalated to GM QA
C0193,OEM-TATA,2024-11-13,"D-3395,D-1522,D-6964",Clutch Plate,ABS sensor ring missing teeth - 12 units,304,Machine tool wear - spindle runout,No,,279503,Closed,N,N,Customer requested urgent resolution
C0194,OEM-TATA,2024-05-16,"D-3634,D-3839,D-4335,D-4065",Brake Pad Type B,Friction material detached after 3000 km field use,108,Coolant contamination in grinding,No,Full recall + replacement dispatched,308010,Open,N,N,Closed with customer sign-off
C0195,OEM-TATA,2021-03-17,D-3912,Drum Brake Assy,Crack on brake drum casting - 6 bar air test fail,358,Machine tool wear - spindle runout,No,Process parameter locked; re-training done,201425,Closed,Y,N,Repeat issue - CAPA overdue
C0196,OEM-HONDA,2022-03-15,"D-3248,D-1377,D-4077,D-2879",Drum Brake Assy,ABS sensor ring missing teeth - 12 units,317,Supplier batch below spec,,Corrective action plan submitted,173299,Open,Y,Y,Escalated to GM QA
C0197,OEM-HONDA,2024-01-23,"D-3054,D-3193",Clutch Plate,Dimensional out-of-spec - ID oversize by 0.12 mm,326,Resin expiry date exceeded,Yes,Process parameter locked; re-training done,462156,Closed,Y,Y,Escalated to GM QA
C0198,OEM-MARUTI,2023-04-23,"D-1006,D-2499,D-1839,D-4219",Disc Brake Caliper,Vibration at highway speeds - rotor runout > 0.05 mm,277,Operator error - wrong die inserted,Yes,Full recall + replacement dispatched,129919,Closed,N,N,Escalated to GM QA
C0199,OEM-HONDA,2023-04-08,"D-1955,D-6137,D-1487,D-3036",Brake Shoe,Clutch slip - insufficient torque capacity,219,Incoming lot moisture > 0.5%,No,Scrap & re-order from alternate supplier,252681,Closed,N,N,Closed with customer sign-off
C0200,OEM-FORD,2022-02-16,"D-4466,D-1985",Brake Shoe,Oil contamination on lining surface,500,,Yes,Preventive maintenance completed,309941,Closed,N,N,Closed with customer sign-off
C0201,OEM-MARUTI,2021-06-22,"D-2679,D-4103",Drum Brake Assy,Clutch slip - insufficient torque capacity,185,Incoming lot moisture > 0.5%,,Process parameter locked; re-training done,110975,Closed,Y,Y,Field visit completed
C0202,OEM-HYUNDAI,2022-08-01,"D-3491,D-1177,D-1332",Drum Brake Assy,Dimensional out-of-spec - ID oversize by 0.12 mm,225,Operator error - wrong die inserted,Pending,100% inspection implemented,28263,In Progress,N,Y,Closed with customer sign-off
C0203,OEM-HONDA,2021-03-10,"D-2232,D-2731,D-3697",CV Joint,Oil contamination on lining surface,338,Chiller fault - mould temp swing,Pending,100% inspection implemented,349977,Closed,Y,Y,Closed with customer sign-off
C0204,OEM-RENAULT,2022-06-01,D-4069,Clutch Plate,Vibration at highway speeds - rotor runout > 0.05 mm,459,Operator error - wrong die inserted,No,Root cause under investigation,5286,Open,Y,N,Closed with customer sign-off
C0205,OEM-RENAULT,2022-12-22,"D-2133,D-2269,D-3129,D-2373",CV Joint,ABS sensor ring missing teeth - 12 units,202,Supplier batch below spec,No,Rework and re-inspect,407060,In Progress,Y,N,Field visit completed
C0206,OEM-MAHINDRA,2023-08-12,"D-4289,D-3215,D-6796",CV Joint,Crack on brake drum casting - 6 bar air test fail,178,Resin expiry date exceeded,Yes,Corrective action plan submitted,123389,Closed,Y,Y,Closed with customer sign-off
C0207,OEM-MAHINDRA,2023-10-08,"D-4350,D-1655,D-1666,D-1445",Brake Disc,Vibration at highway speeds - rotor runout > 0.05 mm,18,Calibration lapse - gauge not zeroed,Pending,Root cause under investigation,109836,Open,N,N,Field visit completed
C0208,OEM-BAJAJ,2023-07-02,"D-1678,D-1680,D-4130",Drum Brake Assy,Dimensional out-of-spec - ID oversize by 0.12 mm,410,Machine tool wear - spindle runout,No,Corrective action plan submitted,400334,Closed,Y,Y,Closed with customer sign-off
C0209,OEM-TVS,2024-06-22,"D-2970,D-3525,D-2195,D-1818",CV Joint,Vibration at highway speeds - rotor runout > 0.05 mm,365,Machine tool wear - spindle runout,,Corrective action plan submitted,374910,Closed,Y,N,Repeat issue - CAPA overdue
C0210,OEM-TATA,2023-10-27,"D-3697,D-3013",ABS Sensor Ring,Oil contamination on lining surface,131,Calibration lapse - gauge not zeroed,,Rework and re-inspect,444454,Closed,Y,Y,Field visit completed
C0211,OEM-HYUNDAI,2023-03-01,"D-2144,D-2809,D-3111,D-1188",Brake Pad Type B,Surface delamination - units rejected at incoming QC,473,Incorrect cure temp - night shift,No,Rework and re-inspect,342746,Closed,N,Y,Field visit completed
C0212,OEM-SUZUKI,2022-11-17,"D-2268,D-3568",Clutch Plate,Dimensional out-of-spec - ID oversize by 0.12 mm,444,Operator error - wrong die inserted,Yes,Preventive maintenance completed,369000,In Progress,Y,Y,OEM issued debit note
C0213,OEM-MAHINDRA,2024-05-06,"D-4454,D-6346,D-2430",Drum Brake Assy,Vibration at highway speeds - rotor runout > 0.05 mm,125,Calibration lapse - gauge not zeroed,Yes,Preventive maintenance completed,101644,Open,,Y,Closed with customer sign-off
C0214,OEM-BAJAJ,2022-04-13,"D-6213,D-2041",Wheel Hub Assy,Crack on brake drum casting - 6 bar air test fail,330,,Yes,Preventive maintenance completed,217801,Open,N,Y,Customer requested urgent resolution
C0215,OEM-MAHINDRA,2023-04-13,"D-2301,D-1205,D-1971",Brake Pad Type A,Clutch slip - insufficient torque capacity,198,Incorrect cure temp - night shift,Pending,Full recall + replacement dispatched,109957,Open,N,N,Repeat issue - CAPA overdue
C0216,OEM-FORD,2022-02-09,"D-2698,D-6690,D-1823,D-4053",Brake Disc,Noise complaint - squeal at low speed braking,177,Supplier batch below spec,Yes,,172978,Closed,N,N,Field visit completed
C0217,OEM-HYUNDAI,2024-05-17,"D-3980,D-2131,D-3123",CV Joint,Surface delamination - units rejected at incoming QC,343,Coolant contamination in grinding,Yes,Process parameter locked; re-training done,82919,Closed,N,Y,Customer requested urgent resolution
C0218,OEM-BAJAJ,2021-01-12,"D-2099,D-1256",CV Joint,Oil contamination on lining surface,202,Supplier batch below spec,No,Scrap & re-order from alternate supplier,476595,In Progress,N,N,Escalated to GM QA
C0219,OEM-TATA,2024-06-12,D-4233,Clutch Plate,Vibration at highway speeds - rotor runout > 0.05 mm,237,Supplier batch below spec,,Corrective action plan submitted,121022,Closed,N,Y,Closed with customer sign-off
C0220,OEM-MAHINDRA,2023-06-14,"D-2260,D-2927,D-4460,D-1652",Brake Pad Type B,Noise complaint - squeal at low speed braking,24,Resin expiry date exceeded,No,,113220,Open,N,Y,Repeat issue - CAPA overdue
C0221,OEM-HYUNDAI,2022-09-16,"D-3108,D-3007",ABS Sensor Ring,ABS sensor ring missing teeth - 12 units,306,,Yes,Process parameter locked; re-training done,400346,Open,,Y,OEM issued debit note
C0222,OEM-MAHINDRA,2022-11-14,"D-3604,D-2909,D-3560,D-1729",Brake Shoe,Surface delamination - units rejected at incoming QC,140,,No,,382559,Closed,Y,N,Customer requested urgent resolution
C0223,OEM-HONDA,2021-05-15,D-3812,Drum Brake Assy,Clutch slip - insufficient torque capacity,281,,No,Root cause under investigation,253421,Closed,N,Y,
C0224,OEM-RENAULT,2022-02-20,"D-3094,D-1637",Brake Pad Type A,Vibration at highway speeds - rotor runout > 0.05 mm,220,Incoming lot moisture > 0.5%,Pending,,266889,In Progress,N,Y,Field visit completed
C0225,OEM-TVS,2022-01-13,"D-2310,D-4490",Drum Brake Assy,Crack on brake drum casting - 6 bar air test fail,227,Operator error - wrong die inserted,Yes,Preventive maintenance completed,204990,Open,Y,Y,Closed with customer sign-off
C0226,OEM-HONDA,2023-03-02,"D-4343,D-4464",Brake Shoe,Noise complaint - squeal at low speed braking,481,Supplier batch below spec,Yes,Root cause under investigation,86422,In Progress,Y,N,Customer requested urgent resolution
C0227,OEM-MARUTI,2024-03-25,"D-3584,D-4891,D-1781",ABS Sensor Ring,Clutch slip - insufficient torque capacity,145,Under investigation,No,Rework and re-inspect,77424,In Progress,N,Y,Repeat issue - CAPA overdue
C0228,OEM-SUZUKI,2022-06-07,"D-4338,D-3425,D-1924,D-3443",CV Joint,Crack on brake drum casting - 6 bar air test fail,222,Operator error - wrong die inserted,No,Root cause under investigation,84370,Open,N,Y,Field visit completed
C0229,OEM-FORD,2023-04-27,"D-2868,D-2608,D-1515",Clutch Plate,Vibration at highway speeds - rotor runout > 0.05 mm,295,Under investigation,Pending,Process parameter locked; re-training done,362358,Escalated,N,N,Closed with customer sign-off
C0230,OEM-MARUTI,2024-02-10,"D-1616,D-3417,D-1660",Clutch Plate,Dimensional out-of-spec - ID oversize by 0.12 mm,403,Chiller fault - mould temp swing,Yes,Corrective action plan submitted,224521,Closed,Y,N,Repeat issue - CAPA overdue
C0231,OEM-MARUTI,2023-01-12,"D-3627,D-4318,D-3313,D-3991",Brake Pad Type A,Dimensional out-of-spec - ID oversize by 0.12 mm,339,Chiller fault - mould temp swing,No,,45206,Closed,N,N,Escalated to GM QA
C0232,OEM-TVS,2022-03-07,"D-1208,D-6461",ABS Sensor Ring,Dimensional out-of-spec - ID oversize by 0.12 mm,115,Calibration lapse - gauge not zeroed,No,Corrective action plan submitted,221718,Closed,Y,N,Customer requested urgent resolution
C0233,OEM-HYUNDAI,2022-11-29,"D-4388,D-1589",Disc Brake Caliper,Friction material detached after 3000 km field use,332,Operator error - wrong die inserted,,Corrective action plan submitted,18960,Closed,Y,Y,Closed with customer sign-off
C0234,OEM-SUZUKI,2023-11-25,"D-2036,D-2424,D-1019,D-1921",Disc Brake Caliper,ABS sensor ring missing teeth - 12 units,125,Batch mix ratio deviation,Yes,100% inspection implemented,63670,Closed,Y,Y,Customer requested urgent resolution
C0235,OEM-TATA,2022-12-17,"D-2009,D-2999,D-1707",ABS Sensor Ring,Crack on brake drum casting - 6 bar air test fail,411,Supplier batch below spec,No,Process parameter locked; re-training done,381944,Closed,N,N,Repeat issue - CAPA overdue
C0236,OEM-HYUNDAI,2021-09-19,"D-1642,D-1475,D-2053",Clutch Plate,ABS sensor ring missing teeth - 12 units,1,Coolant contamination in grinding,No,Scrap & re-order from alternate supplier,106812,Closed,Y,N,
C0237,OEM-SUZUKI,2023-06-21,"D-3016,D-3383,D-3629,D-3669",Brake Pad Type B,Vibration at highway speeds - rotor runout > 0.05 mm,377,Resin expiry date exceeded,Pending,Corrective action plan submitted,132859,Closed,,Y,OEM issued debit note
C0238,OEM-BAJAJ,2024-10-26,"D-4197,D-4321,D-1220,D-1200",CV Joint,Oil contamination on lining surface,372,Calibration lapse - gauge not zeroed,Pending,Corrective action plan submitted,320434,In Progress,Y,Y,OEM issued debit note
C0239,OEM-BAJAJ,2023-05-19,"D-4319,D-1365,D-1035,D-1789",Disc Brake Caliper,Friction material detached after 3000 km field use,171,Incoming lot moisture > 0.5%,Pending,Rework and re-inspect,376087,Open,N,Y,Closed with customer sign-off
C0240,OEM-FORD,2023-12-11,"D-2083,D-3322,D-1459,D-3731",Wheel Hub Assy,Oil contamination on lining surface,81,Incoming lot moisture > 0.5%,No,,461755,Open,Y,Y,Closed with customer sign-off
C0241,OEM-HYUNDAI,2022-04-28,"D-2002,D-3582",Disc Brake Caliper,Corrosion observed on disc surface - field report,364,Under investigation,Yes,Rework and re-inspect,453525,Closed,,Y,OEM issued debit note
C0242,OEM-MARUTI,2022-03-17,"D-4198,D-2952",Brake Pad Type B,Friction material detached after 3000 km field use,292,Machine tool wear - spindle runout,Yes,Preventive maintenance completed,389821,Closed,N,N,Field visit completed
C0243,OEM-HYUNDAI,2022-06-03,"D-1532,D-2929,D-3247",Brake Pad Type A,Oil contamination on lining surface,159,Chiller fault - mould temp swing,,100% inspection implemented,201993,Escalated,Y,N,Customer requested urgent resolution
C0244,OEM-TATA,2022-01-01,"D-2449,D-4454",Brake Shoe,Crack on brake drum casting - 6 bar air test fail,197,Machine tool wear - spindle runout,Pending,Root cause under investigation,271059,Closed,,Y,Escalated to GM QA
C0245,OEM-HONDA,2021-07-05,"D-1596,D-2189,D-3613,D-6090",Brake Pad Type B,ABS sensor ring missing teeth - 12 units,198,Resin expiry date exceeded,No,Corrective action plan submitted,195461,Closed,Y,Y,Repeat issue - CAPA overdue
